Comunidad autónoma de residencia;Nivel de ingresos del hogar (reducida);Gastos totales, medios, distribución e índice;Periodo;Total
Total Nacional;De 2.000 a 2.999 euros;Gasto medio por unidad de consumo;2011;18.614,15
Total Nacional;De 2.000 a 2.999 euros;Gasto medio por unidad de consumo;2010;18.690,1
Total Nacional;De 2.000 a 2.999 euros;Gasto medio por unidad de consumo;2009;18.702,67
Total Nacional;De 2.000 a 2.999 euros;Gasto medio por unidad de consumo;2008;19.220,91
Total Nacional;De 2.000 a 2.999 euros;Gasto medio por unidad de consumo;2007;19.720,94
Total Nacional;De 2.000 a 2.999 euros;Gasto medio por unidad de consumo;2006;19.443,47
Total Nacional;De 2.000 a 2.999 euros;Índice sobre la media del gmp;2020;98,8
Total Nacional;De 2.000 a 2.999 euros;Índice sobre la media del gmp;2019;99,6
Total Nacional;De 2.000 a 2.999 euros;Índice sobre la media del gmp;2018;101,62
Total Nacional;De 2.000 a 2.999 euros;Índice sobre la media del gmp;2017;104,19
Total Nacional;De 2.000 a 2.999 euros;Índice sobre la media del gmp;2016;106,33
Total Nacional;De 2.000 a 2.999 euros;Índice sobre la media del gmp;2015;107,58
Total Nacional;De 2.000 a 2.999 euros;Índice sobre la media del gmp;2014;109,05
Total Nacional;De 2.000 a 2.999 euros;Índice sobre la media del gmp;2013;109,9
Total Nacional;De 2.000 a 2.999 euros;Índice sobre la media del gmp;2012;108,44
Total Nacional;De 2.000 a 2.999 euros;Índice sobre la media del gmp;2011;105,61
Total Nacional;De 2.000 a 2.999 euros;Índice sobre la media del gmp;2010;105,75
Total Nacional;De 2.000 a 2.999 euros;Índice sobre la media del gmp;2009;104,41
Total Nacional;De 2.000 a 2.999 euros;Índice sobre la media del gmp;2008;102,5
Total Nacional;De 2.000 a 2.999 euros;Índice sobre la media del gmp;2007;105,75
Total Nacional;De 2.000 a 2.999 euros;Índice sobre la media del gmp;2006;109,34
Total Nacional;3.000 euros o más;Gasto total;2020;176.247.868,06
Total Nacional;3.000 euros o más;Gasto total;2019;181.546.587,39
Total Nacional;3.000 euros o más;Gasto total;2018;173.517.963,81
