Causa de muerte	Sexo	Edad	Comunidades y Ciudades Autónomas	Periodo	Total
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	2001	251
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	2000	223
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	2020	122
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	2019	125
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	2018	127
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	2017	98
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	2016	119
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	2015	106
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	2014	106
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	2013	102
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	2012	106
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	2011	116
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	2010	90
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	2009	97
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	2008	115
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	2007	101
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	2006	124
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	2005	101
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	2004	120
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	2003	95
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	2002	99
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	2001	90
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	14 Murcia, Región de	2000	112
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	15 Navarra, Comunidad Foral de	2020	44
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	15 Navarra, Comunidad Foral de	2019	46
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	15 Navarra, Comunidad Foral de	2018	39
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	15 Navarra, Comunidad Foral de	2017	48
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	15 Navarra, Comunidad Foral de	2016	51
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	15 Navarra, Comunidad Foral de	2015	53
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	15 Navarra, Comunidad Foral de	2014	47
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	15 Navarra, Comunidad Foral de	2013	52
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	15 Navarra, Comunidad Foral de	2012	48
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	15 Navarra, Comunidad Foral de	2011	51
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	15 Navarra, Comunidad Foral de	2010	39
